Time,PG1,PG2,PG3,PG4,PG5,PG6
02:10:21,434,269,1160,628,1255,1616
02:30:14,435,265,1160,629,1255,1616
02:50:08,436,264,1160,628,1255,1616
03:11:00,436,264,1162,628,1255,1619
03:30:55,436,264,1162,629,1255,1619
03:50:49,436,264,1162,628,1255,1619
04:10:44,435,264,1162,628,1255,1619
04:30:41,435,265,1162,629,1255,1619
05:34:59,434,265,1162,627,1255,1619
06:02:08,433,265,1165,631,1255,1621
06:22:02,429,264,1165,634,1255,1621
06:41:56,424,262,1159,636,1255,1616
10:07:36,0,36,817,406,338,993
10:25:34,0,5,761,377,310,906
10:46:23,0,0,645,334,277,777
11:21:58,0,9,556,292,244,637
13:08:35,0,42,469,274,206,685
13:41:30,0,33,504,309,243,693
13:56:37,0,23,493,306,258,695
14:11:43,9,28,507,332,311,750
14:26:51,13,23,509,336,349,773
14:41:56,22,38,516,352,387,778
14:57:02,32,43,527,363,411,797
15:05:41,41,57,533,366,414,807
15:12:07,47,69,544,371,433,823
15:27:15,61,86,591,385,478,868
15:42:32,71,102,656,420,533,945
15:57:40,90,122,680,428,557,950
16:12:53,87,138,683,445,590,954
16:28:00,82,154,679,453,614,957
16:43:07,71,159,697,467,677,976
16:58:16,65,159,689,463,716,974
17:22:02,66,166,662,481,815,1003
17:37:10,63,170,684,491,842,1065
17:52:16,60,176,702,487,869,1104
18:07:20,48,176,713,491,893,1126
20:04:46,265,247,917,605,1144,1443
20:19:54,287,254,934,616,1165,1466
20:35:01,291,256,956,617,1180,1493
20:50:08,301,257,979,612,1193,1517
21:20:51,350,251,1018,612,1211,1526
21:35:57,359,247,1054,620,1218,1547
21:51:03,366,246,1087,617,1223,1561
22:06:10,377,244,1103,626,1237,1569
22:22:20,387,248,1123,622,1244,1579
22:39:39,399,247,1132,617,1247,1588
22:54:48,405,244,1136,618,1246,1592
23:09:57,410,243,1140,615,1244,1591
23:41:36,420,241,1146,609,1250,1601
23:58:18,415,243,1152,611,1247,1607
00:13:26,421,248,1157,612,1246,1617
00:29:13,423,251,1159,612,1246,1617
00:57:28,423,249,1159,610,1239,1621
01:16:46,422,250,1161,609,1236,1623
01:35:37,423,251,1161,610,1232,1623
01:51:34,423,251,1161,610,1231,1623
02:15:04,425,251,1161,610,1231,1625
02:35:35,426,250,1160,609,1231,1625
02:50:42,425,249,1160,609,1230,1625
03:31:55,426,249,1164,608,1230,1625
03:47:42,426,249,1164,608,1229,1628
04:02:54,425,249,1164,608,1229,1628
04:18:00,425,249,1164,609,1230,1628
04:56:08,425,249,1164,610,1233,1628
05:11:13,425,251,1164,611,1231,1626
05:52:40,427,247,1161,613,1264,1617
06:07:49,426,248,1160,615,1259,1616
06:35:48,417,245,1154,619,1254,1611
06:50:55,406,246,1150,624,1233,1602
07:06:02,396,247,1147,626,1218,1600
07:58:58,271,239,1118,602,1054,1542
08:14:05,219,240,1108,595,988,1511
08:34:58,176,233,1088,582,901,1486
08:51:14,105,220,1055,559,810,1417
09:07:13,44,193,1012,520,708,1334
09:25:08,2,119,905,455,578,1166
09:53:08,3,39,782,392,415,949
13:09:47,0,8,428,183,137,345
13:46:38,0,6,381,168,153,355
14:01:45,0,13,388,174,169,391
14:16:53,7,24,396,183,168,417
14:31:59,7,30,382,185,207,457
15:03:31,11,35,397,225,278,469
15:18:38,13,46,406,236,347,503
15:33:45,38,66,460,260,436,549
15:48:52,28,76,476,282,478,597
16:04:01,29,88,500,296,513,627
16:19:07,46,95,530,324,559,685
16:34:14,30,102,569,344,595,736
16:49:22,4,105,558,354,619,758
17:04:31,11,108,563,356,681,778
17:19:48,8,112,574,366,731,825
17:36:04,8,123,575,387,764,867
17:54:37,17,127,597,407,801,907
18:15:12,0,127,577,425,841,983
18:35:00,36,135,581,447,888,1067
18:54:07,53,153,597,471,959,1157
19:11:15,70,168,611,499,1027,1215
19:37:23,99,198,640,537,1096,1284
19:55:21,165,219,693,568,1144,1372
20:13:39,207,231,754,582,1166,1417
20:38:24,244,232,794,588,1184,1464
20:57:01,281,241,844,602,1201,1481
21:16:08,302,244,891,612,1212,1513
21:34:16,322,244,939,624,1211,1540
21:59:19,337,248,993,633,1224,1558
22:17:58,359,247,1028,637,1231,1576
22:36:20,363,249,1065,637,1241,1588
23:04:06,381,252,1104,632,1237,1594
23:22:56,382,249,1117,624,1245,1599
23:40:13,400,248,1121,628,1240,1605
23:58:12,400,247,1139,626,1235,1610
00:15:57,409,248,1146,630,1238,1619
00:33:09,414,246,1148,631,1238,1621
15:45:03,18,68,497,373,435,795
16:00:16,25,79,540,386,463,828
16:17:30,50,102,568,393,482,848
16:35:13,50,117,612,431,601,910
17:04:40,45,127,606,478,674,938
17:19:46,65,145,615,489,740,962
17:38:53,79,162,629,507,793,1009
18:04:29,95,180,629,516,829,1052
18:24:04,94,195,650,532,871,1096
18:43:17,105,216,667,540,924,1192
22:06:49,346,277,1082,656,1190,1569
22:29:40,365,273,1102,654,1223,1584
23:04:00,377,265,1132,651,1238,1595
23:19:30,380,264,1140,649,1244,1604
23:34:38,389,262,1147,647,1247,1604
23:49:44,395,264,1151,649,1253,1609
00:04:50,403,265,1154,640,1251,1612
00:20:08,408,265,1158,641,1248,1613
00:35:15,407,262,1159,639,1251,1611
00:50:21,408,264,1159,638,1251,1615
01:05:27,412,264,1160,635,1253,1621
01:39:39,419,263,1160,633,1252,1621
01:58:24,420,263,1160,631,1252,1621
02:25:48,422,262,1161,632,1252,1622
02:44:26,422,262,1161,631,1254,1624
03:01:44,424,261,1161,629,1254,1624
03:25:21,428,261,1161,629,1252,1626
03:44:15,428,261,1161,629,1252,1626
04:02:31,427,262,1161,629,1252,1625
04:21:57,427,262,1161,629,1252,1626
04:40:06,427,262,1161,629,1255,1626
04:59:17,427,262,1160,629,1255,1625
05:30:35,427,264,1160,629,1260,1623
05:48:04,426,263,1160,625,1260,1623
06:03:11,423,270,1152,625,1261,1614
06:18:46,423,270,1148,628,1264,1612
06:38:25,421,270,1145,626,1256,1611
06:56:25,414,271,1142,631,1236,1605
07:15:51,401,270,1141,627,1188,1591
07:34:05,365,269,1135,619,1134,1584
07:49:11,330,268,1133,603,1052,1559
08:04:19,280,265,1113,588,963,1537
08:19:26,244,262,1106,575,903,1520
08:34:32,208,261,1092,567,836,1487
08:49:39,173,255,1059,566,761,1451
09:04:46,99,236,1016,546,666,1391
09:19:53,32,208,955,523,536,1283
09:34:59,0,158,874,482,432,1158
09:50:06,0,89,794,457,355,1036
10:05:12,0,64,761,443,323,982
10:20:18,0,58,722,422,283,918
10:35:28,0,57,668,384,239,841
10:50:37,0,39,578,352,185,714
11:05:48,7,31,544,342,239,655
11:20:54,2,27,492,331,229,608
11:36:02,0,30,470,324,231,571
11:51:09,0,18,463,311,195,554
12:06:18,0,16,437,296,175,515
12:21:45,1,10,465,302,164,552
12:36:51,5,23,508,313,199,558
12:51:57,6,42,539,305,204,556
13:07:05,0,54,545,312,228,554
13:42:21,0,50,601,317,269,568
14:02:11,0,45,652,355,339,640
14:17:18,10,50,662,360,356,675
14:32:29,14,61,680,376,369,692
14:47:56,14,72,689,382,381,717
15:03:24,19,85,700,405,460,751
15:32:25,61,136,718,440,573,860
15:49:42,71,140,730,448,609,912
16:05:58,65,153,751,466,662,927
16:24:02,78,164,759,467,691,931
16:41:24,74,166,776,479,731,946
16:59:40,68,177,766,476,752,948
17:15:09,80,200,775,482,805,988
17:30:15,75,207,767,492,839,1022
18:11:30,70,206,726,528,909,1103
18:28:35,73,213,715,527,920,1128
19:03:16,84,231,716,555,1004,1216
19:21:37,104,240,714,573,1045,1251
19:36:44,120,242,720,581,1065,1294
19:51:50,135,241,736,591,1105,1352
20:06:57,165,249,771,598,1127,1406
20:47:38,215,256,836,626,1176,1510
21:05:51,261,265,889,632,1181,1526
21:24:16,300,292,956,643,1190,1540
21:41:51,328,296,1005,643,1194,1556
21:57:15,330,297,1027,653,1214,1567
23:44:18,412,310,1133,633,1239,1609
00:12:07,420,312,1150,630,1237,1611
00:27:14,427,311,1154,633,1236,1613
00:42:19,426,314,1154,636,1236,1616
01:38:58,430,317,1168,638,1245,1622
01:57:23,438,317,1168,638,1243,1624
02:22:55,440,317,1169,642,1242,1625
02:38:03,440,317,1169,641,1242,1625
02:53:09,439,317,1169,645,1241,1625
03:08:15,438,317,1169,644,1243,1625
03:26:35,436,315,1169,644,1245,1625
03:43:19,434,314,1169,643,1245,1625
03:58:26,438,315,1169,640,1248,1625
04:13:33,438,315,1169,641,1247,1625
04:28:39,439,316,1169,640,1245,1625
04:43:45,439,316,1169,639,1245,1625
05:23:06,439,316,1169,639,1247,1625
06:07:54,439,317,1168,641,1248,1625
06:23:07,440,318,1168,642,1247,1625
06:38:18,440,318,1168,642,1248,1625
06:53:25,441,318,1166,646,1244,1625
07:24:13,442,319,1168,650,1249,1625
07:40:37,441,317,1168,650,1250,1623
07:56:04,440,317,1169,651,1250,1623
08:11:22,435,317,1167,655,1246,1621
09:49:38,428,328,1155,680,1243,1610
10:04:46,422,331,1145,687,1246,1605
10:22:25,417,332,1137,695,1249,1597
10:37:33,418,338,1124,700,1249,1595
10:52:41,414,342,1115,703,1255,1598
11:07:48,412,342,1103,700,1237,1594
11:22:55,409,346,1097,694,1237,1592
11:38:04,405,351,1097,692,1240,1590
11:53:16,403,354,1094,692,1247,1586
12:08:24,400,352,1090,692,1246,1582
13:03:49,401,357,1091,699,1248,1570
13:57:52,407,365,1094,709,1254,1561
14:21:15,411,367,1094,713,1248,1563
14:54:14,418,379,1089,715,1252,1564
15:22:17,414,384,1088,721,1266,1572
16:01:56,424,388,1093,730,1273,1576
16:23:23,427,389,1101,732,1273,1579
16:58:13,430,396,1096,737,1283,1574
17:24:29,449,400,1102,742,1295,1577
17:54:58,449,400,1118,742,1300,1580
18:22:38,457,403,1124,744,1303,1584
20:03:22,463,376,1131,722,1284,1583
20:18:31,463,375,1130,718,1291,1586
20:33:41,462,373,1131,716,1289,1585
20:48:50,461,373,1137,713,1286,1585
21:04:05,463,371,1136,704,1282,1587
22:38:45,464,358,1154,685,1261,1607
22:58:21,464,363,1155,682,1256,1608
23:53:24,461,363,1154,666,1245,1611
00:09:51,463,360,1156,660,1242,1610
00:38:05,462,354,1158,654,1246,1611
00:53:15,463,352,1159,652,1245,1613
01:08:21,464,351,1159,649,1241,1614
01:23:27,467,351,1162,650,1245,1616
01:38:32,467,350,1162,648,1245,1616
01:53:38,468,350,1162,650,1246,1614
02:08:44,467,350,1162,650,1247,1614
02:23:49,466,352,1162,652,1246,1614
02:39:16,466,352,1163,650,1244,1614
02:54:22,466,352,1163,649,1243,1614
03:09:27,466,352,1163,648,1241,1614
03:24:35,469,352,1163,646,1240,1614
03:39:41,468,352,1163,645,1240,1614
03:57:27,468,350,1161,646,1240,1614
04:12:33,467,351,1157,646,1240,1616
04:27:39,467,351,1156,646,1240,1616
04:42:45,466,349,1156,646,1240,1616
04:57:52,466,349,1156,647,1243,1616
05:13:04,466,350,1157,647,1243,1616
05:28:10,466,350,1157,648,1242,1616
05:43:18,466,350,1157,648,1245,1616
05:58:25,466,351,1157,649,1246,1616
06:13:30,466,352,1157,649,1244,1616
06:28:37,466,352,1157,652,1243,1616
06:45:47,467,352,1157,653,1246,1614
08:15:03,461,356,1159,648,1228,1609
08:30:13,461,359,1154,647,1216,1609
08:45:21,458,360,1153,649,1217,1609
09:00:28,456,360,1152,650,1222,1609
09:15:35,453,357,1152,651,1221,1609
09:30:43,448,359,1149,653,1223,1608
09:46:02,449,358,1151,658,1233,1605
10:16:23,447,365,1143,669,1241,1598
10:31:31,442,363,1136,672,1239,1597
11:10:53,445,366,1129,673,1250,1586
11:30:09,442,365,1129,675,1253,1580
11:50:20,443,365,1127,681,1259,1577
12:08:47,437,373,1124,684,1260,1577
12:26:57,435,377,1121,688,1263,1577
12:42:04,432,380,1118,685,1268,1576
13:01:06,425,381,1119,689,1268,1578
13:18:37,425,382,1122,696,1274,1575
13:36:08,423,380,1123,697,1277,1568
13:59:51,424,382,1125,692,1277,1568
14:19:46,424,387,1127,693,1283,1570
14:39:22,424,385,1131,694,1282,1569
15:00:57,424,388,1126,700,1289,1571
15:18:46,420,389,1126,706,1299,1574
15:39:52,424,392,1128,711,1305,1574
16:02:40,433,392,1128,719,1309,1571
16:21:03,437,393,1123,723,1306,1571
16:39:44,439,391,1122,726,1308,1572
17:04:31,436,393,1121,730,1310,1578
17:23:02,446,395,1126,728,1311,1579
17:41:18,453,394,1130,730,1309,1580
18:02:05,461,394,1139,726,1310,1581
18:17:39,463,393,1140,726,1315,1582
18:33:52,461,393,1139,723,1312,1584
18:53:51,459,393,1144,720,1304,1590
19:09:03,465,393,1149,721,1305,1591
19:24:18,463,388,1151,717,1307,1592
19:39:30,464,388,1152,715,1297,1593
19:54:42,461,387,1152,714,1297,1596
20:09:53,464,384,1154,710,1301,1599
20:25:03,467,380,1163,711,1303,1602
20:40:14,469,381,1164,708,1294,1603
20:55:59,472,375,1164,703,1291,1602
21:24:30,473,377,1164,694,1291,1603
21:39:37,473,374,1166,694,1284,1604
23:16:21,468,372,1163,687,1256,1607
23:33:59,468,371,1164,682,1251,1604
23:53:36,468,364,1164,681,1246,1604
00:08:41,469,365,1165,677,1246,1611
00:23:47,470,365,1165,674,1242,1612
00:38:53,468,362,1165,669,1243,1612
00:53:59,470,360,1164,665,1241,1612
01:09:05,470,356,1164,664,1244,1612
01:28:14,469,360,1165,658,1244,1615
01:43:20,469,359,1164,658,1242,1615
01:58:25,467,358,1164,659,1242,1615
02:13:31,467,359,1164,655,1244,1615
02:28:37,467,358,1164,656,1246,1615
02:43:42,467,358,1164,656,1246,1615
02:58:48,464,358,1164,655,1245,1615
03:13:54,462,359,1164,655,1246,1615
03:33:30,462,360,1165,650,1246,1615
03:54:36,462,358,1165,652,1248,1615
04:09:43,462,358,1165,652,1251,1615
04:24:48,463,357,1166,654,1250,1615
04:39:55,463,356,1166,653,1250,1615
04:55:01,463,355,1166,653,1249,1615
05:10:09,463,353,1166,653,1248,1615
05:25:15,463,354,1166,650,1248,1615
05:40:21,463,354,1166,650,1250,1615
05:55:27,463,354,1166,650,1253,1615
08:03:52,465,357,1166,650,1255,1614
08:19:03,465,357,1166,650,1255,1614
08:37:54,465,357,1166,650,1255,1614
08:53:03,462,361,1165,655,1262,1612
09:08:11,462,364,1167,656,1262,1611
09:23:18,459,363,1167,657,1263,1611
09:38:26,457,365,1167,659,1264,1611
09:53:35,451,366,1168,665,1265,1608
11:02:25,436,365,1161,680,1266,1604
11:55:17,416,368,1155,690,1263,1597
12:56:14,423,382,1148,703,1267,1590
13:50:22,420,373,1151,711,1275,1583
14:45:06,419,372,1152,700,1276,1577
15:40:26,419,371,1154,702,1280,1574
15:59:19,420,373,1156,708,1282,1571
19:38:34,415,356,1165,678,1290,1586
20:32:37,413,346,1167,672,1275,1594
21:22:52,418,326,1168,655,1264,1595
21:46:17,419,316,1170,652,1251,1595
23:56:55,432,295,1164,633,1231,1613
00:34:29,434,292,1167,632,1229,1617
00:58:03,438,290,1167,630,1228,1617
01:21:41,437,290,1167,629,1223,1617
01:47:22,438,290,1167,630,1223,1617
02:12:18,436,290,1167,626,1224,1617
02:27:23,434,290,1167,625,1225,1617
02:42:32,437,289,1167,625,1225,1616
02:58:04,435,289,1167,624,1225,1616
03:13:33,435,289,1166,624,1223,1616
03:28:41,435,290,1166,624,1224,1616
04:05:30,434,289,1165,625,1223,1616
04:20:35,434,289,1165,625,1221,1616
04:35:49,435,289,1165,626,1222,1615
04:50:55,435,289,1165,625,1224,1615
05:06:04,436,289,1165,624,1222,1615
10:22:03,0,32,638,366,212,924
10:37:09,0,17,562,333,161,836
10:52:15,0,0,500,292,65,699
11:07:21,4,8,472,274,7,616
11:22:27,0,1,405,242,0,485
11:37:32,0,0,379,230,0,448
11:52:38,0,0,372,227,0,407
12:08:04,0,0,355,220,17,365
12:23:11,0,0,349,215,32,354
12:38:17,0,0,366,208,43,362
12:53:23,0,0,367,218,89,357
13:08:29,0,4,385,214,128,348
13:23:34,0,2,401,220,135,353
13:38:39,0,0,399,225,137,374
13:53:44,0,0,401,229,183,365
14:08:55,3,14,409,249,211,406
14:24:03,0,31,416,267,224,423
14:39:14,7,36,415,270,251,421
17:07:28,11,114,560,382,564,762
17:22:35,5,125,583,394,606,804
17:37:41,0,123,609,405,613,830
17:52:47,0,125,626,433,635,862
18:07:53,1,114,629,440,645,895
18:23:00,17,112,647,445,649,938
18:38:10,22,123,675,459,692,1008
18:53:30,35,130,696,459,720,1047
19:14:37,72,140,712,479,738,1091
19:36:26,110,158,727,484,749,1151
19:58:55,175,177,764,513,791,1234
20:18:14,210,199,831,551,850,1330
20:35:51,232,209,868,566,889,1368
20:55:52,259,211,912,565,908,1396
21:19:46,298,220,943,586,966,1429
23:13:49,399,256,1131,637,1100,1564
23:28:57,407,251,1138,636,1105,1569
23:44:04,413,250,1140,635,1107,1575
23:59:09,420,248,1142,636,1106,1579
00:14:16,426,249,1148,636,1102,1584
00:29:21,426,245,1150,635,1097,1585
00:44:27,423,244,1148,634,1099,1591
00:59:37,426,244,1149,634,1099,1590
01:14:45,427,246,1152,634,1100,1594
01:29:51,427,247,1153,630,1100,1596
01:44:57,428,246,1154,630,1099,1599
02:00:06,430,246,1156,631,1100,1600
02:15:12,433,246,1156,631,1099,1604
02:30:18,435,247,1156,631,1100,1605
02:45:24,434,248,1156,631,1100,1606
03:00:33,433,247,1156,630,1100,1608
03:15:39,434,247,1156,630,1100,1609
03:30:49,434,246,1156,629,1098,1611
03:45:56,435,246,1156,628,1098,1611
04:01:02,436,246,1156,627,1100,1611
04:16:08,436,246,1156,627,1100,1614
04:31:14,437,246,1156,627,1100,1614
04:46:23,439,247,1156,626,1099,1615
05:01:28,439,248,1155,627,1097,1615
05:16:35,438,247,1154,627,1095,1615
05:31:43,437,248,1147,627,1236,1613
05:46:49,437,246,1146,626,1237,1611
06:01:56,434,249,1151,628,1237,1608
06:17:02,434,248,1150,629,1237,1607
06:32:08,429,248,1148,630,1229,1605
07:12:41,410,245,1151,633,1192,1592
08:39:22,211,101,1110,583,814,1461
09:40:25,0,0,836,493,348,1197
10:40:01,0,0,661,396,118,913
11:42:25,0,0,468,283,0,591
12:05:30,0,0,400,265,0,550
12:20:37,0,0,388,253,0,553
12:36:21,0,0,390,252,0,588

